,pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,predicted,probability space %,calibration logreg probability space %,calibration isoreg probability space %
2452,2019-03-16 13:40:58,2019-03-16 13:57:04,2,3.39,14.0,0.0,0.0,14.8,yellow,Park Slope,Sunset Park West,Brooklyn,Brooklyn,1,82.94,88.16,93.1
1201,2019-03-27 13:52:07,2019-03-27 14:05:35,2,2.23,11.0,2.86,0.0,17.16,yellow,Upper East Side South,Upper West Side North,Manhattan,Manhattan,0,0.02,1.24,0.0
1446,2019-03-08 03:51:00,2019-03-08 04:07:13,1,3.5,14.0,0.0,0.0,17.8,yellow,Penn Station/Madison Sq West,Lower East Side,Manhattan,Manhattan,1,90.93,93.24,93.78
4745,2019-03-13 15:57:16,2019-03-13 16:11:09,1,1.06,9.5,2.56,0.0,15.36,yellow,Clinton East,Midtown Center,Manhattan,Manhattan,0,0.01,1.24,0.0
5390,2019-03-15 08:01:25,2019-03-15 08:33:10,1,4.64,22.0,0.0,0.0,25.3,yellow,Central Harlem,Murray Hill,Manhattan,Manhattan,1,72.63,77.1,75.0
6405,2019-03-21 18:28:55,2019-03-21 18:51:08,2,3.88,16.5,0.0,0.0,18.3,green,Boerum Hill,Ocean Hill,Brooklyn,Brooklyn,1,75.56,80.83,83.33
1535,2019-03-09 18:57:53,2019-03-09 19:49:53,1,28.3,52.0,2.0,5.76,63.06,yellow,World Trade Center,JFK Airport,Manhattan,Queens,0,0.24,1.26,0.0
758,2019-03-05 14:55:41,2019-03-05 15:01:57,1,0.87,6.0,1.86,0.0,11.16,yellow,East Village,Gramercy,Manhattan,Manhattan,0,0.01,1.24,0.0
2931,2019-03-13 15:27:53,2019-03-13 15:33:33,1,0.8,5.5,0.0,0.0,8.8,yellow,Midtown East,Sutton Place/Turtle Bay North,Manhattan,Manhattan,1,93.06,94.2,93.78
1560,2019-03-28 08:26:59,2019-03-28 08:33:21,1,0.8,6.0,1.85,0.0,11.15,yellow,TriBeCa/Civic Center,SoHo,Manhattan,Manhattan,0,0.01,1.24,0.0
82,2019-03-14 11:55:26,2019-03-14 12:08:32,6,1.84,10.0,2.66,0.0,15.96,yellow,East Harlem South,Upper East Side South,Manhattan,Manhattan,0,0.03,1.24,0.0
3830,2019-03-17 16:54:01,2019-03-17 16:59:39,1,0.81,5.5,1.76,0.0,10.56,yellow,Greenwich Village North,West Village,Manhattan,Manhattan,0,0.01,1.24,0.0
5536,2019-03-18 18:16:48,2019-03-18 18:28:33,1,1.2,9.0,2.15,0.0,12.95,green,Brooklyn Heights,DUMBO/Vinegar Hill,Brooklyn,Brooklyn,0,0.18,1.25,0.0
2338,2019-03-06 19:39:06,2019-03-06 19:42:36,2,0.67,4.5,2.64,0.0,11.44,yellow,Upper East Side South,Upper East Side North,Manhattan,Manhattan,0,0.02,1.24,0.0
4583,2019-03-14 11:47:01,2019-03-14 12:14:15,1,2.4,17.0,0.0,0.0,20.3,yellow,Lenox Hill East,Kips Bay,Manhattan,Manhattan,1,83.82,88.85,93.78
3838,2019-03-09 09:14:18,2019-03-09 09:23:17,1,0.94,7.5,2.16,0.0,12.96,yellow,Flatiron,West Chelsea/Hudson Yards,Manhattan,Manhattan,0,0.01,1.24,0.0
2469,2019-03-30 11:21:20,2019-03-30 11:32:13,6,1.63,9.5,1.92,0.0,14.72,yellow,Upper West Side North,Lincoln Square East,Manhattan,Manhattan,0,0.03,1.24,0.0
1533,2019-03-26 17:38:10,2019-03-26 17:44:54,1,1.3,7.0,0.0,0.0,11.3,yellow,Morningside Heights,Upper West Side North,Manhattan,Manhattan,1,90.9,93.22,93.78
539,2019-03-29 14:36:11,2019-03-29 15:04:43,1,9.1,28.0,5.56,5.76,42.62,yellow,Midtown South,LaGuardia Airport,Manhattan,Queens,0,0.13,1.25,0.0
1506,2019-03-13 20:01:43,2019-03-13 20:41:40,2,14.5,43.5,0.0,0.0,44.8,yellow,LaGuardia Airport,East Flatbush/Farragut,Queens,Brooklyn,1,80.72,86.26,93.1
3706,2019-03-12 16:16:26,2019-03-12 16:20:35,1,0.7,5.0,1.0,0.0,10.3,yellow,Upper East Side South,Lenox Hill East,Manhattan,Manhattan,0,0.01,1.24,0.0
1427,2019-03-08 23:13:46,2019-03-08 23:30:30,1,3.31,13.5,3.0,0.0,20.3,yellow,Penn Station/Madison Sq West,Upper East Side North,Manhattan,Manhattan,0,0.02,1.24,0.0
6221,2019-03-26 13:56:01,2019-03-26 14:05:29,1,1.74,8.5,0.0,0.0,9.3,green,Mount Hope,East Concourse/Concourse Village,Bronx,Bronx,1,71.89,76.08,75.0
2654,2019-03-23 12:30:15,2019-03-23 12:40:51,1,1.56,8.5,2.36,0.0,14.16,yellow,Sutton Place/Turtle Bay North,Times Sq/Theatre District,Manhattan,Manhattan,0,0.01,1.24,0.0
630,2019-03-14 15:30:55,2019-03-14 15:35:27,5,0.5,5.0,2.49,0.0,10.79,yellow,Upper West Side South,Lincoln Square West,Manhattan,Manhattan,0,0.02,1.24,0.0
3789,2019-03-19 06:38:48,2019-03-19 06:47:41,1,1.81,8.5,2.36,0.0,14.16,yellow,Kips Bay,Greenwich Village North,Manhattan,Manhattan,0,0.02,1.24,0.0
3856,2019-03-05 10:54:33,2019-03-05 11:08:08,2,1.98,11.0,2.86,0.0,17.16,yellow,Lenox Hill East,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0,0.01,1.24,0.0
5600,2019-03-21 08:21:54,2019-03-21 09:00:08,1,7.06,26.0,0.0,5.76,32.56,green,Soundview/Castle Hill,East Harlem South,Bronx,Manhattan,0,10.22,2.67,4.76
241,2019-03-29 13:30:12,2019-03-29 13:36:35,1,1.23,6.5,2.45,0.0,12.25,yellow,Manhattan Valley,Upper West Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
5140,2019-03-04 19:57:14,2019-03-04 20:02:27,1,1.02,5.5,1.96,0.0,11.76,yellow,Lincoln Square East,Lincoln Square East,Manhattan,Manhattan,0,0.01,1.24,0.0
4064,2019-03-14 17:10:33,2019-03-14 17:18:34,2,0.8,7.0,2.8,0.0,14.1,yellow,Union Sq,Penn Station/Madison Sq West,Manhattan,Manhattan,0,0.02,1.24,0.0
4830,2019-03-11 16:12:06,2019-03-11 16:24:18,1,1.79,9.5,0.0,0.0,13.8,yellow,Upper West Side North,Upper East Side North,Manhattan,Manhattan,1,91.52,93.52,93.78
1404,2019-03-05 17:19:48,2019-03-05 17:43:02,3,1.62,14.5,0.0,0.0,18.8,yellow,Midtown North,Clinton East,Manhattan,Manhattan,1,93.62,94.43,96.77
4606,2019-03-07 17:52:19,2019-03-07 18:00:12,1,0.86,6.5,2.16,0.0,12.96,yellow,Penn Station/Madison Sq West,Times Sq/Theatre District,Manhattan,Manhattan,0,0.01,1.24,0.0
2109,2019-03-31 00:52:56,2019-03-31 01:04:07,1,2.3,10.5,2.85,0.0,17.15,yellow,Upper West Side South,Lenox Hill East,Manhattan,Manhattan,0,0.01,1.24,0.0
2145,2019-03-13 18:10:19,2019-03-13 18:17:57,1,0.6,6.5,2.15,0.0,12.95,yellow,Midtown North,Midtown East,Manhattan,Manhattan,0,0.01,1.24,0.0
4316,2019-03-11 21:30:13,2019-03-11 21:51:57,1,5.3,20.0,2.0,0.0,25.8,yellow,Flatiron,East Williamsburg,Manhattan,Brooklyn,0,0.07,1.24,0.0
3168,2019-03-21 13:39:17,2019-03-21 13:50:13,3,1.3,8.5,2.0,0.0,13.8,yellow,UN/Turtle Bay South,Union Sq,Manhattan,Manhattan,0,0.02,1.24,0.0
5338,2019-03-21 08:24:51,2019-03-21 08:29:31,2,0.6,5.0,1.65,0.0,9.95,yellow,Lincoln Square West,Lincoln Square West,Manhattan,Manhattan,0,0.01,1.24,0.0
3853,2019-03-22 15:50:43,2019-03-22 15:58:57,2,1.4,7.5,0.0,0.0,11.8,yellow,Yorkville West,Lenox Hill West,Manhattan,Manhattan,1,92.83,94.1,93.78
500,2019-03-05 22:01:02,2019-03-05 22:22:52,1,4.36,18.0,4.36,0.0,26.16,yellow,Penn Station/Madison Sq West,Long Island City/Hunters Point,Manhattan,Queens,0,0.1,1.24,0.0
6051,2019-03-16 08:24:01,2019-03-16 08:32:15,1,3.38,11.0,2.95,0.0,14.75,green,Washington Heights South,Morningside Heights,Manhattan,Manhattan,0,0.08,1.24,0.0
2816,2019-03-19 00:33:09,2019-03-19 00:44:53,1,2.12,10.5,0.0,0.0,11.8,yellow,Woodside,North Corona,Queens,Queens,1,97.03,95.66,100.0
5439,2019-03-01 13:31:41,2019-03-01 13:40:47,5,1.27,7.5,2.16,0.0,12.96,yellow,Kips Bay,Midtown Center,Manhattan,Manhattan,0,0.03,1.24,0.0
4946,2019-03-11 17:53:03,2019-03-11 18:06:24,2,1.97,10.5,2.96,0.0,17.76,yellow,Union Sq,Upper East Side South,Manhattan,Manhattan,0,0.01,1.24,0.0
723,2019-03-08 20:53:27,2019-03-08 20:59:44,2,1.0,6.0,1.5,0.0,11.3,yellow,Union Sq,East Chelsea,Manhattan,Manhattan,0,0.02,1.24,0.0
3282,2019-03-09 18:54:36,2019-03-09 19:06:32,1,1.46,9.0,2.0,0.0,14.3,yellow,West Village,Union Sq,Manhattan,Manhattan,0,0.01,1.24,0.0
3843,2019-03-11 15:23:02,2019-03-11 16:10:26,1,13.13,42.5,0.0,5.76,51.56,yellow,UN/Turtle Bay South,Bay Ridge,Manhattan,Brooklyn,1,52.86,42.32,42.86
24,2019-03-24 09:53:28,2019-03-24 10:01:22,5,2.89,9.5,3.84,0.0,16.64,yellow,Lenox Hill West,Gramercy,Manhattan,Manhattan,0,0.03,1.24,0.0
6117,2019-03-06 07:46:09,2019-03-06 07:50:06,1,0.0,4.0,0.0,0.0,4.8,green,Bushwick South,Bushwick South,Brooklyn,Brooklyn,1,69.22,72.13,75.0
4972,2019-03-02 20:52:08,2019-03-02 20:54:28,2,0.0,3.5,0.0,0.0,7.3,yellow,Midtown South,Midtown South,Manhattan,Manhattan,1,92.4,93.92,93.78
4491,2019-03-29 16:55:56,2019-03-29 17:00:15,2,0.5,5.0,1.85,0.0,11.15,yellow,Upper East Side South,Midtown North,Manhattan,Manhattan,0,0.02,1.24,0.0
4610,2019-03-14 19:26:54,2019-03-14 19:51:47,1,3.46,17.0,0.0,0.0,21.3,yellow,Hudson Sq,Midtown North,Manhattan,Manhattan,1,83.5,88.6,93.78
1919,2019-03-16 00:33:59,2019-03-16 00:46:29,1,2.36,11.5,3.82,0.0,19.12,yellow,Upper West Side North,Upper East Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
1652,2019-03-10 10:01:33,2019-03-10 10:09:57,1,1.32,8.0,2.26,0.0,13.56,yellow,Times Sq/Theatre District,Lincoln Square East,Manhattan,Manhattan,0,0.02,1.24,0.0
4144,2019-03-01 20:23:42,2019-03-01 20:27:04,2,0.75,4.5,1.66,0.0,9.96,yellow,Upper West Side South,Upper West Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
1637,2019-03-06 09:23:53,2019-03-06 09:38:53,1,2.15,12.0,3.06,0.0,18.36,yellow,Midtown East,Clinton West,Manhattan,Manhattan,0,0.02,1.24,0.0
4513,2019-03-01 18:12:55,2019-03-01 18:26:37,1,1.9,10.5,2.96,0.0,17.76,yellow,Upper East Side North,Midtown Center,Manhattan,Manhattan,0,0.01,1.24,0.0
98,2019-03-08 19:10:16,2019-03-08 19:18:32,2,0.9,7.0,0.0,0.0,11.3,yellow,Midtown North,Times Sq/Theatre District,Manhattan,Manhattan,1,93.26,94.28,96.77
3301,2019-03-01 12:21:56,2019-03-01 13:05:55,4,5.94,29.5,0.0,0.0,32.8,yellow,Upper West Side North,East Village,Manhattan,Manhattan,1,72.15,76.43,75.0
633,2019-03-01 14:47:03,2019-03-01 15:13:19,1,3.88,18.5,0.0,0.0,21.8,yellow,World Trade Center,Clinton East,Manhattan,Manhattan,1,80.31,85.88,93.1
434,2019-03-27 17:59:17,2019-03-27 18:27:22,1,2.75,18.0,4.46,0.0,26.76,yellow,Midtown Center,Kips Bay,Manhattan,Manhattan,0,0.03,1.24,0.0
1418,2019-03-20 22:21:15,2019-03-20 22:35:38,6,4.38,15.0,3.76,0.0,22.56,yellow,Midtown North,Old Astoria,Manhattan,Queens,0,0.16,1.25,0.0
383,2019-03-08 13:52:36,2019-03-08 13:59:15,1,0.68,6.0,1.86,0.0,11.16,yellow,Upper East Side South,Upper East Side South,Manhattan,Manhattan,0,0.01,1.24,0.0
1240,2019-03-19 17:06:56,2019-03-19 17:32:35,1,3.5,18.0,0.0,0.0,22.3,yellow,Midtown South,Yorkville East,Manhattan,Manhattan,1,83.31,88.46,93.1
2262,2019-03-17 20:21:44,2019-03-17 20:41:24,1,3.83,15.5,3.86,0.0,23.16,yellow,SoHo,Clinton East,Manhattan,Manhattan,0,0.03,1.24,0.0
4990,2019-03-22 19:14:45,2019-03-22 19:34:11,3,8.0,24.0,0.0,0.0,25.8,yellow,LaGuardia Airport,South Ozone Park,Queens,Queens,1,90.41,92.98,93.78
1048,2019-03-10 23:32:24,2019-03-10 23:47:17,2,3.3,13.5,0.0,0.0,17.3,yellow,Chinatown,Penn Station/Madison Sq West,Manhattan,Manhattan,1,86.61,90.81,93.78
4313,2019-03-05 21:37:48,2019-03-05 21:55:44,5,3.09,13.5,3.46,0.0,20.76,yellow,East Chelsea,Upper West Side South,Manhattan,Manhattan,0,0.04,1.24,0.0
3334,2019-03-29 10:28:57,2019-03-29 10:46:03,1,2.49,12.5,3.16,0.0,18.96,yellow,Lenox Hill East,Upper West Side North,Manhattan,Manhattan,0,0.02,1.24,0.0
1058,2019-03-15 09:31:05,2019-03-15 09:48:59,1,1.45,11.5,2.96,0.0,17.76,yellow,Battery Park City,Financial District North,Manhattan,Manhattan,0,0.02,1.24,0.0
3622,2019-03-28 21:22:56,2019-03-28 21:42:33,1,3.18,14.5,3.66,0.0,21.96,yellow,Midtown Center,SoHo,Manhattan,Manhattan,0,0.01,1.24,0.0
3991,2019-03-17 11:25:03,2019-03-17 11:42:11,1,2.0,12.0,3.05,0.0,18.35,yellow,Lincoln Square West,Yorkville West,Manhattan,Manhattan,0,0.02,1.24,0.0
1817,2019-03-27 16:51:25,2019-03-27 16:56:27,1,0.6,5.0,1.86,0.0,11.16,yellow,Central Park,Central Park,Manhattan,Manhattan,0,0.01,1.24,0.0
3205,2019-03-10 21:39:10,2019-03-10 21:46:31,4,1.14,6.5,3.09,0.0,13.39,yellow,Union Sq,West Village,Manhattan,Manhattan,0,0.03,1.24,0.0
200,2019-03-14 07:59:57,2019-03-14 08:09:42,1,1.4,8.5,2.35,0.0,14.15,yellow,Upper East Side South,Upper East Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
3421,2019-03-03 15:28:02,2019-03-03 15:34:11,1,1.06,6.0,2.79,0.0,12.09,yellow,East Village,Gramercy,Manhattan,Manhattan,0,0.01,1.24,0.0
538,2019-03-08 19:09:50,2019-03-08 19:46:58,1,9.28,34.0,6.61,5.76,50.67,yellow,LaGuardia Airport,Gramercy,Queens,Manhattan,0,0.1,1.24,0.0
3408,2019-03-04 19:20:29,2019-03-04 19:23:30,1,0.5,4.0,1.25,0.0,9.55,yellow,Union Sq,Gramercy,Manhattan,Manhattan,0,0.02,1.24,0.0
2694,2019-03-05 07:39:18,2019-03-05 07:41:59,1,0.6,4.0,1.0,0.0,8.3,yellow,UN/Turtle Bay South,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0,0.01,1.24,0.0
2642,2019-03-11 15:01:22,2019-03-11 15:15:20,1,1.79,10.5,2.76,0.0,16.56,yellow,Upper East Side North,Upper West Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
2614,2019-03-11 10:23:06,2019-03-11 10:27:57,1,0.6,5.0,1.0,0.0,9.3,yellow,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan,0,0.01,1.24,0.0
4902,2019-03-08 17:44:34,2019-03-08 17:49:49,1,0.8,5.5,1.95,0.0,11.75,yellow,Yorkville East,Yorkville West,Manhattan,Manhattan,0,0.01,1.24,0.0
4317,2019-03-13 15:03:04,2019-03-13 15:51:15,1,12.49,42.5,10.31,5.76,61.87,yellow,Midtown North,LaGuardia Airport,Manhattan,Queens,0,0.13,1.25,0.0
4950,2019-03-02 18:25:39,2019-03-02 18:49:09,1,2.55,15.5,4.7,0.0,23.5,yellow,Central Park,Penn Station/Madison Sq West,Manhattan,Manhattan,0,0.02,1.24,0.0
2177,2019-03-03 19:41:59,2019-03-03 19:50:18,0,1.2,7.0,1.5,0.0,11.8,yellow,Clinton East,Midtown North,Manhattan,Manhattan,0,0.02,1.24,0.0
2188,2019-03-20 18:55:08,2019-03-20 19:08:14,1,1.2,9.5,1.0,0.0,14.8,yellow,Clinton West,Midtown Center,Manhattan,Manhattan,0,0.02,1.24,0.0
777,2019-03-19 01:35:57,2019-03-19 01:41:50,1,0.83,5.5,1.86,0.0,11.16,yellow,Union Sq,Union Sq,Manhattan,Manhattan,0,0.01,1.24,0.0
776,2019-03-31 12:38:17,2019-03-31 12:47:31,1,1.32,7.5,2.16,0.0,12.96,yellow,Midtown Center,Clinton East,Manhattan,Manhattan,0,0.02,1.24,0.0
3923,2019-03-13 20:26:28,2019-03-13 20:37:28,1,1.93,9.5,0.0,0.0,13.3,yellow,Times Sq/Theatre District,Upper West Side South,Manhattan,Manhattan,1,95.0,94.96,100.0
5748,2019-03-03 18:02:17,2019-03-03 18:11:14,1,1.92,8.5,1.86,0.0,11.16,green,Woodside,Astoria,Queens,Queens,0,0.24,1.26,0.0
6193,2019-03-14 18:00:14,2019-03-14 18:03:38,1,0.8,4.5,1.58,0.0,7.88,green,Cobble Hill,Carroll Gardens,Brooklyn,Brooklyn,0,0.45,1.28,0.0
3812,2019-03-13 11:38:21,2019-03-13 11:55:27,2,1.88,12.0,3.82,0.0,19.12,yellow,West Village,World Trade Center,Manhattan,Manhattan,0,0.04,1.24,0.0
1921,2019-03-04 16:27:50,2019-03-04 16:36:52,3,1.42,8.0,2.46,0.0,14.76,yellow,Gramercy,Lower East Side,Manhattan,Manhattan,0,0.02,1.24,0.0
800,2019-03-11 11:15:43,2019-03-11 11:27:36,1,1.36,9.0,1.5,0.0,13.8,yellow,Lenox Hill West,UN/Turtle Bay South,Manhattan,Manhattan,0,0.01,1.24,0.0
1808,2019-03-24 18:06:10,2019-03-24 18:21:51,2,7.8,22.0,5.05,0.0,30.35,yellow,Yorkville East,Battery Park City,Manhattan,Manhattan,0,0.04,1.24,0.0
1692,2019-03-29 10:27:24,2019-03-29 10:51:42,1,2.1,16.0,3.85,0.0,23.15,yellow,Midtown East,Upper East Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
4241,2019-03-06 16:22:57,2019-03-06 16:36:45,5,1.56,10.0,2.86,0.0,17.16,yellow,Upper East Side North,Upper East Side North,Manhattan,Manhattan,0,0.04,1.24,0.0
158,2019-03-05 15:39:52,2019-03-05 15:44:51,3,0.92,5.5,0.0,0.0,8.8,yellow,Clinton East,Midtown North,Manhattan,Manhattan,1,94.18,94.65,96.77
2970,2019-03-03 17:14:10,2019-03-03 17:22:25,2,1.1,7.5,3.0,0.0,13.8,yellow,Lincoln Square East,Midtown Center,Manhattan,Manhattan,0,0.02,1.24,0.0
3607,2019-03-15 01:36:14,2019-03-15 01:58:53,2,10.85,32.5,10.89,0.0,47.19,yellow,East Village,Inwood,Manhattan,Manhattan,0,0.08,1.24,0.0
4140,2019-03-12 06:43:36,2019-03-12 06:50:59,1,1.99,8.0,2.26,0.0,13.56,yellow,Upper West Side North,Midtown North,Manhattan,Manhattan,0,0.01,1.24,0.0
4575,2019-03-18 22:07:12,2019-03-18 22:18:15,2,2.16,9.5,2.66,0.0,15.96,yellow,Times Sq/Theatre District,Meatpacking/West Village West,Manhattan,Manhattan,0,0.02,1.24,0.0
1642,2019-03-11 14:51:12,2019-03-11 15:08:55,6,1.74,11.5,2.96,0.0,17.76,yellow,Central Park,Clinton East,Manhattan,Manhattan,0,0.03,1.24,0.0
210,2019-03-13 07:15:24,2019-03-13 07:25:50,1,2.27,9.5,0.0,0.0,12.8,yellow,Gramercy,Midtown Center,Manhattan,Manhattan,1,93.14,94.23,93.78
548,2019-03-26 21:03:37,2019-03-26 21:09:02,6,0.87,5.5,0.0,0.0,9.3,yellow,Upper East Side North,Yorkville West,Manhattan,Manhattan,1,94.4,94.74,96.77
610,2019-03-22 08:18:14,2019-03-22 08:35:44,5,1.41,11.5,2.96,0.0,17.76,yellow,Midtown South,East Chelsea,Manhattan,Manhattan,0,0.02,1.24,0.0
2237,2019-03-26 16:10:01,2019-03-26 16:14:18,1,0.47,4.5,1.0,0.0,9.8,yellow,Midtown Center,Midtown Center,Manhattan,Manhattan,0,0.01,1.24,0.0
3764,2019-03-06 19:58:02,2019-03-06 20:01:07,0,0.6,4.5,2.0,0.0,10.8,yellow,Midtown North,Midtown Center,Manhattan,Manhattan,0,0.01,1.24,0.0
1026,2019-03-30 10:50:54,2019-03-30 10:53:56,1,0.5,4.0,0.0,0.0,7.3,yellow,Murray Hill,Murray Hill,Manhattan,Manhattan,1,92.85,94.11,93.78
1012,2019-03-05 18:25:45,2019-03-05 18:30:44,1,0.7,5.0,1.85,0.0,11.15,yellow,Upper East Side South,Lenox Hill West,Manhattan,Manhattan,0,0.01,1.24,0.0
3851,2019-03-22 08:39:32,2019-03-22 08:56:56,1,2.6,13.0,0.0,0.0,16.3,yellow,Yorkville East,UN/Turtle Bay South,Manhattan,Manhattan,1,88.79,92.12,93.78
2152,2019-03-31 12:41:16,2019-03-31 12:48:07,1,0.8,6.0,0.0,0.0,6.8,yellow,Hamilton Heights,Central Harlem North,Manhattan,Manhattan,1,82.32,87.65,93.1
134,2019-03-11 10:37:05,2019-03-11 10:50:41,5,1.56,10.0,1.0,0.0,14.3,yellow,Union Sq,Midtown Center,Manhattan,Manhattan,0,0.03,1.24,0.0
1934,2019-03-26 15:41:42,2019-03-26 16:14:05,1,2.5,20.0,5.0,0.0,28.3,yellow,Penn Station/Madison Sq West,Hudson Sq,Manhattan,Manhattan,0,0.03,1.24,0.0
4599,2019-03-30 12:29:05,2019-03-30 12:33:04,2,0.5,4.5,0.0,0.0,7.8,yellow,Midtown South,Murray Hill,Manhattan,Manhattan,1,92.41,93.92,93.78
6160,2019-03-02 19:25:01,2019-03-02 19:28:00,1,0.4,4.0,1.2,0.0,6.0,green,Central Harlem,Central Harlem North,Manhattan,Manhattan,0,0.13,1.25,0.0
5333,2019-03-26 08:43:13,2019-03-26 09:01:02,1,2.19,13.0,1.0,0.0,17.3,yellow,Yorkville West,Midtown Center,Manhattan,Manhattan,0,0.01,1.24,0.0
353,2019-03-10 03:41:47,2019-03-10 03:47:49,1,1.21,6.5,1.0,0.0,11.3,yellow,Murray Hill,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0,0.01,1.24,0.0
2661,2019-03-01 23:15:11,2019-03-01 23:33:56,4,2.7,13.5,1.0,0.0,18.3,yellow,Garment District,East Village,Manhattan,Manhattan,0,0.05,1.24,0.0
5793,2019-03-13 10:56:02,2019-03-13 11:03:55,1,1.46,7.0,1.56,0.0,9.36,green,East Harlem North,East Harlem South,Manhattan,Manhattan,0,0.07,1.24,0.0
2737,2019-03-04 21:47:17,2019-03-04 21:57:26,1,3.1,11.0,3.0,0.0,17.8,yellow,Lincoln Square East,East Harlem South,Manhattan,Manhattan,0,0.02,1.24,0.0
2609,2019-03-28 16:03:46,2019-03-28 16:05:44,1,0.3,3.5,1.55,0.0,9.35,yellow,Upper East Side North,Upper East Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
3985,2019-03-22 15:59:35,2019-03-22 16:20:16,1,3.3,16.0,4.05,0.0,24.35,yellow,West Chelsea/Hudson Yards,Greenwich Village South,Manhattan,Manhattan,0,0.01,1.24,0.0
2386,2019-03-20 07:37:48,2019-03-20 07:50:11,1,2.66,11.5,0.0,0.0,14.8,yellow,Upper East Side North,Lincoln Square West,Manhattan,Manhattan,1,92.89,94.13,93.78
4088,2019-03-28 10:34:05,2019-03-28 10:53:18,1,2.3,13.5,4.2,0.0,21.0,yellow,Midtown Center,Union Sq,Manhattan,Manhattan,0,0.02,1.24,0.0
5070,2019-03-01 18:21:58,2019-03-01 18:27:29,2,1.2,6.0,2.05,0.0,12.35,yellow,Yorkville East,Upper East Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
1218,2019-03-08 09:46:36,2019-03-08 10:25:44,1,17.09,49.5,0.0,5.76,56.06,yellow,Boerum Hill,Soundview/Castle Hill,Brooklyn,Bronx,0,32.66,13.41,9.09
1245,2019-03-22 16:30:39,2019-03-22 16:49:45,1,1.7,12.5,3.35,0.0,20.15,yellow,Kips Bay,West Chelsea/Hudson Yards,Manhattan,Manhattan,0,0.02,1.24,0.0
