,passengers,distance,fare,tip,tolls,total,predicted,probability cash %,calibration isoreg probability cash %
3211,2,2.2,10.0,2.66,0.0,15.96,0,0.0,0.0
2333,1,2.4,13.5,3.35,0.0,20.15,0,0.0,0.0
351,1,2.8,12.5,3.25,0.0,19.55,0,0.0,0.0
5506,2,1.25,6.5,0.0,0.0,10.05,1,99.99,89.19
3218,1,2.48,10.0,2.0,0.0,15.8,0,0.0,0.0
5900,3,1.2,6.0,0.0,0.0,7.3,1,99.99,89.55
2794,1,1.03,9.5,1.28,0.0,14.08,0,0.0,0.0
1084,1,2.15,16.0,4.06,0.0,24.36,0,0.0,0.0
2481,1,2.67,15.5,3.76,0.0,22.56,0,0.0,0.0
3557,1,2.4,8.5,2.46,0.0,14.76,0,0.0,0.0
465,5,2.03,9.5,0.0,0.0,13.8,1,99.99,83.06
4958,1,1.05,6.5,2.16,0.0,12.96,0,0.0,0.0
2905,1,24.57,78.0,0.0,5.76,85.56,0,0.93,33.33
3101,3,0.4,4.0,1.11,0.0,6.91,0,0.0,0.0
1593,1,1.6,8.0,2.45,0.0,14.75,0,0.0,0.0
1467,1,16.01,52.0,12.21,5.76,73.27,0,0.0,0.0
1315,2,2.4,11.5,3.05,0.0,18.35,0,0.0,0.0
1611,1,1.12,7.5,2.26,0.0,13.56,0,0.0,0.0
3518,1,0.53,4.5,2.2,0.0,11.0,0,0.0,0.0
5594,1,6.29,21.4,0.0,0.0,21.9,1,99.97,67.65
2072,1,0.5,5.5,1.0,0.0,10.8,0,0.0,0.0
5790,1,2.7,11.0,0.0,0.0,12.3,1,99.99,83.06
3545,1,2.06,10.0,0.0,0.0,13.3,1,99.99,83.06
5638,1,0.0,10.0,0.0,0.0,10.0,1,99.99,88.89
5471,1,2.9,16.0,0.0,0.0,17.8,1,99.98,70.37
2596,1,1.29,9.5,1.56,0.0,14.36,0,0.0,0.0
3484,2,1.43,9.5,0.0,0.0,12.8,1,99.99,83.06
3193,1,2.9,16.5,2.97,0.0,22.77,0,0.0,0.0
2916,3,10.51,33.5,0.0,0.0,37.3,1,99.88,38.46
4382,1,2.0,12.0,3.25,0.0,19.55,0,0.0,0.0
1261,1,9.6,29.5,7.0,5.76,46.06,0,0.0,0.0
1042,1,7.89,23.5,3.0,0.0,30.3,0,0.0,0.0
2453,1,0.53,3.5,0.0,0.0,7.3,1,99.99,89.55
5702,1,14.47,46.5,0.0,5.76,53.06,1,89.7,38.46
5494,1,1.36,8.0,0.0,0.0,8.8,1,99.99,89.19
3295,1,3.22,18.0,0.0,0.0,21.3,1,99.98,70.37
3194,1,2.0,9.5,3.3,0.0,16.6,0,0.0,0.0
5082,1,1.8,11.0,3.05,0.0,18.35,0,0.0,0.0
561,1,1.48,7.0,2.06,0.0,12.36,0,0.0,0.0
2715,1,1.8,9.0,2.56,0.0,15.36,0,0.0,0.0
1608,2,11.8,38.5,0.0,0.0,39.3,1,99.82,38.46
4990,3,8.0,24.0,0.0,0.0,25.8,1,99.96,62.5
2233,1,2.6,12.0,3.25,0.0,19.55,0,0.0,0.0
4789,2,1.21,9.0,2.0,0.0,15.3,0,0.0,0.0
4630,3,1.86,10.0,2.76,0.0,16.56,0,0.0,0.0
4676,1,8.64,30.5,0.0,5.76,37.06,1,98.94,38.46
1805,1,0.8,5.5,0.0,0.0,9.3,1,99.99,89.19
2516,2,0.62,5.5,0.0,0.0,8.8,1,99.99,89.19
2406,5,8.58,26.5,0.0,0.0,27.3,1,99.95,41.67
535,1,0.78,5.5,0.0,0.0,8.8,1,99.99,89.19
2227,4,8.4,33.0,8.4,5.76,50.46,0,0.0,0.0
5062,1,0.8,6.0,1.95,0.0,11.75,0,0.0,0.0
5519,1,1.33,8.5,2.06,0.0,12.36,0,0.0,0.0
1149,1,10.02,30.5,6.46,0.0,38.76,0,0.0,0.0
3961,1,2.93,12.5,3.36,0.0,20.16,0,0.0,0.0
4335,1,2.0,11.5,1.5,0.0,17.3,0,0.0,0.0
2764,2,1.04,7.5,2.26,0.0,13.56,0,0.0,0.0
6036,1,8.44,22.43,0.0,0.0,22.93,1,99.96,62.5
5036,1,1.3,12.5,0.0,0.0,15.8,1,99.98,83.06
1362,1,2.47,12.0,3.06,0.0,18.36,0,0.0,0.0
957,5,1.11,7.0,3.24,0.0,14.04,0,0.0,0.0
3896,1,2.96,12.5,3.26,0.0,19.56,0,0.0,0.0
5272,2,2.51,11.5,3.16,0.0,18.96,0,0.0,0.0
1268,1,1.11,6.5,2.58,0.0,12.88,0,0.0,0.0
828,6,7.88,26.0,7.45,0.0,37.25,0,0.0,0.0
5728,1,21.27,65.59,0.0,11.52,77.61,0,0.01,0.0
5952,1,0.9,5.5,0.0,0.0,7.3,1,99.99,89.19
217,6,1.16,6.0,0.0,0.0,9.8,1,99.99,83.06
2996,1,1.2,9.5,0.0,0.0,10.3,1,99.99,88.89
5844,1,10.83,33.01,0.0,0.0,33.51,1,99.9,38.46
2522,2,1.44,8.0,2.36,0.0,14.16,0,0.0,0.0
5785,2,0.81,7.5,2.79,0.0,14.04,0,0.0,0.0
296,1,0.9,11.0,2.85,0.0,17.15,0,0.0,0.0
2795,1,1.7,10.0,2.75,0.0,16.55,0,0.0,0.0
2104,1,1.4,6.5,1.47,0.0,11.27,0,0.0,0.0
712,1,0.8,5.0,1.75,0.0,10.55,0,0.0,0.0
2572,1,17.56,52.0,12.21,5.76,73.27,0,0.0,0.0
3574,1,0.7,5.0,1.75,0.0,10.55,0,0.0,0.0
88,1,0.07,2.5,0.0,0.0,3.8,1,99.99,89.55
4427,1,1.83,8.5,0.0,0.0,11.8,1,99.99,83.06
5409,1,3.4,13.0,0.0,0.0,16.8,1,99.98,81.58
2970,2,1.1,7.5,3.0,0.0,13.8,0,0.0,0.0
3787,1,1.55,9.5,0.0,0.0,13.8,1,99.99,83.06
381,1,3.66,15.0,3.66,0.0,21.96,0,0.0,0.0
469,2,3.3,13.0,5.0,0.0,21.8,0,0.0,0.0
324,1,1.9,10.0,0.0,0.0,13.8,1,99.99,83.06
1310,2,0.85,5.5,0.0,0.0,9.3,1,99.99,89.19
3527,1,4.1,16.5,1.98,0.0,21.78,0,0.0,0.0
611,1,4.7,22.5,0.0,0.0,26.3,1,99.97,67.65
3254,1,1.63,11.5,1.5,0.0,16.3,0,0.0,0.0
2948,2,0.83,5.0,1.66,0.0,9.96,0,0.0,0.0
5774,1,10.24,38.28,0.0,5.76,44.54,1,97.64,38.46
3967,1,1.5,7.0,0.0,0.0,10.3,1,99.99,89.19
1730,1,2.17,12.0,1.0,0.0,17.3,0,0.0,0.0
5297,2,1.47,8.0,2.46,0.0,14.76,0,0.0,0.0
3362,1,0.6,5.0,1.65,0.0,9.95,0,0.0,0.0
4230,1,1.8,9.5,0.0,0.0,12.8,1,99.99,83.06
2759,1,2.5,11.0,0.0,0.0,14.8,1,99.99,83.06
4405,1,3.06,15.0,4.7,0.0,23.5,0,0.0,0.0
730,2,4.4,16.5,4.06,0.0,24.36,0,0.0,0.0
5369,1,0.5,5.0,2.6,0.0,11.4,0,0.0,0.0
4160,2,2.04,11.0,3.58,0.0,17.88,0,0.0,0.0
491,1,1.6,2.5,0.0,0.0,5.8,1,99.99,89.55
37,1,3.13,20.5,0.0,0.0,24.8,1,99.98,67.65
5609,1,2.89,11.5,0.0,0.0,12.3,1,99.99,83.06
3245,2,1.46,8.5,0.0,0.0,12.8,1,99.99,83.06
3355,1,0.7,4.0,0.0,0.0,7.8,1,99.99,89.55
5922,1,0.89,6.0,2.34,0.0,10.14,0,0.0,0.0
683,1,6.03,19.0,4.46,0.0,26.76,0,0.0,0.0
6145,1,1.68,7.5,1.76,0.0,10.56,0,0.0,0.0
1244,2,1.3,10.0,2.85,0.0,17.15,0,0.0,0.0
3824,2,1.48,7.0,2.26,0.0,13.56,0,0.0,0.0
4207,3,2.05,11.5,2.5,0.0,17.3,0,0.0,0.0
4458,2,1.0,7.0,0.0,0.0,10.3,1,99.99,89.19
6415,1,0.89,5.0,0.0,0.0,5.8,1,99.99,89.55
486,4,1.11,7.0,2.16,0.0,12.96,0,0.0,0.0
1488,1,1.0,6.5,1.0,0.0,11.3,0,0.0,0.0
511,1,6.5,21.5,2.0,0.0,27.3,0,0.0,0.0
1108,1,13.4,52.0,11.7,5.76,70.26,0,0.0,0.0
5626,1,1.28,6.5,0.0,0.0,7.8,1,99.99,89.19
5020,5,1.09,6.5,2.16,0.0,12.96,0,0.0,0.0
4366,1,1.0,7.5,2.35,0.0,14.15,0,0.0,0.0
2617,1,2.01,9.0,2.46,0.0,14.76,0,0.0,0.0
5825,1,4.97,19.0,5.2,0.0,26.0,0,0.0,0.0
1954,1,1.3,10.0,2.65,0.0,15.95,0,0.0,0.0
4190,1,0.8,5.5,0.0,0.0,8.8,1,99.99,89.19
3881,1,0.87,6.0,2.06,0.0,12.36,0,0.0,0.0
544,2,0.7,11.5,2.95,0.0,17.75,0,0.0,0.0
3204,1,0.76,8.0,2.26,0.0,13.56,0,0.0,0.0
1199,1,2.16,10.0,2.66,0.0,15.96,0,0.0,0.0
2622,1,0.9,7.0,1.7,0.0,13.0,0,0.0,0.0
2091,1,3.3,12.5,3.0,0.0,18.8,0,0.0,0.0
1339,1,0.89,5.5,0.0,0.0,9.3,1,99.99,89.19
4902,1,0.8,5.5,1.95,0.0,11.75,0,0.0,0.0
2464,1,12.0,34.0,8.0,0.0,43.3,0,0.0,0.0
2892,1,0.5,4.5,1.55,0.0,9.35,0,0.0,0.0
1650,1,4.33,20.5,4.76,0.0,28.56,0,0.0,0.0
157,5,10.18,29.5,0.06,5.76,38.62,0,0.0,0.0
960,1,1.42,8.0,2.26,0.0,13.56,0,0.0,0.0
2906,6,0.87,6.0,0.0,0.0,9.3,1,99.99,83.06
763,2,1.9,13.0,0.0,0.0,16.3,1,99.98,83.06
1773,1,1.9,8.5,0.0,0.0,12.3,1,99.99,83.06
2531,1,3.8,16.5,4.05,0.0,24.35,0,0.0,0.0
6348,1,1.8,9.5,0.0,0.0,10.3,1,99.99,83.06
1964,1,0.35,3.5,0.68,0.0,7.48,0,0.0,0.0
4511,1,1.0,7.0,1.56,0.0,9.36,0,0.0,0.0
1662,1,2.86,12.5,3.16,0.0,18.96,0,0.0,0.0
926,1,1.83,12.0,3.06,0.0,18.36,0,0.0,0.0
5335,1,2.3,10.5,2.86,0.0,17.16,0,0.0,0.0
2949,1,15.58,52.0,11.06,0.0,66.36,0,0.0,0.0
4237,6,6.29,21.0,4.96,0.0,29.76,0,0.0,0.0
4852,5,2.61,15.5,3.86,0.0,23.16,0,0.0,0.0
5674,1,2.01,9.0,0.0,0.0,9.8,1,99.99,83.06
4603,6,0.82,4.5,0.0,0.0,8.3,1,99.99,83.06
4906,1,7.1,25.5,4.32,0.0,33.12,0,0.0,0.0
468,1,4.0,16.5,4.15,0.0,24.95,0,0.0,0.0
79,1,1.3,7.5,2.25,0.0,13.55,0,0.0,0.0
167,1,0.6,5.5,0.0,0.0,8.8,1,99.99,89.19
5281,1,2.8,12.0,3.15,0.0,18.95,0,0.0,0.0
4767,1,4.4,17.5,4.15,0.0,24.95,0,0.0,0.0
2857,1,1.6,8.0,2.12,0.0,13.92,0,0.0,0.0
4860,1,0.5,4.0,0.0,0.0,7.3,1,99.99,89.55
1328,1,1.39,7.5,1.66,0.0,9.96,0,0.0,0.0
5302,3,2.66,15.5,3.76,0.0,22.56,0,0.0,0.0
4984,1,0.5,4.5,1.2,0.0,10.0,0,0.0,0.0
2670,6,1.08,6.0,1.86,0.0,11.16,0,0.0,0.0
4553,1,8.76,31.0,10.29,0.0,44.59,0,0.0,0.0
2707,1,1.81,10.5,4.14,0.0,17.94,0,0.0,0.0
6090,1,2.42,12.0,0.0,0.0,12.8,1,99.99,83.06
5243,1,17.51,52.0,0.0,0.0,55.3,1,97.55,38.46
1480,1,3.0,17.0,5.05,0.0,25.35,0,0.0,0.0
3780,1,1.4,7.5,0.0,0.0,11.3,1,99.99,88.89
5782,1,8.28,23.5,4.94,5.76,35.0,0,0.0,0.0
4686,1,0.96,6.5,0.0,0.0,10.3,1,99.99,89.19
50,2,1.0,11.5,0.0,0.0,14.8,1,99.99,83.06
4291,1,17.8,52.0,8.0,0.0,63.3,0,0.0,0.0
2640,1,7.03,21.5,6.11,5.76,36.67,0,0.0,0.0
2623,1,0.6,5.0,1.65,0.0,9.95,0,0.0,0.0
4280,3,4.4,25.0,6.95,2.64,34.89,0,0.0,0.0
4562,1,0.1,20.0,0.0,0.0,20.8,1,99.98,70.37
1406,1,18.2,52.0,0.0,5.76,61.06,1,61.24,38.46
4081,1,10.77,42.5,11.45,0.0,57.25,0,0.0,0.0
308,5,18.76,52.0,11.71,5.76,70.27,0,0.0,0.0
2570,1,0.69,5.0,1.76,0.0,10.56,0,0.0,0.0
4620,1,2.1,9.0,2.55,0.0,15.35,0,0.0,0.0
538,1,9.28,34.0,6.61,5.76,50.67,0,0.0,0.0
6225,1,0.78,5.0,0.0,0.0,5.8,1,99.99,89.55
2741,1,2.7,11.5,3.16,0.0,18.96,0,0.0,0.0
6041,1,2.25,9.5,2.06,0.0,12.36,0,0.0,0.0
5693,2,2.11,10.0,0.0,0.0,11.3,1,99.99,83.06
3187,1,1.6,7.0,2.15,0.0,12.95,0,0.0,0.0
4764,1,1.56,9.0,2.46,0.0,14.76,0,0.0,0.0
5546,1,0.0,2.5,0.0,0.0,3.3,1,99.99,89.55
1921,3,1.42,8.0,2.46,0.0,14.76,0,0.0,0.0
585,4,2.1,9.5,2.05,0.0,12.35,0,0.0,0.0
4590,3,1.8,8.0,2.35,0.0,14.15,0,0.0,0.0
1056,2,0.5,5.5,2.45,0.0,12.25,0,0.0,0.0
1144,1,0.6,6.0,0.0,0.0,10.3,1,99.99,89.19
5856,1,14.03,38.61,0.0,5.76,44.87,1,95.14,38.46
93,3,0.66,9.5,1.2,0.0,14.0,0,0.0,0.0
5474,1,1.3,6.0,0.0,0.0,9.55,1,99.99,89.19
1212,1,3.23,12.0,3.95,0.0,19.75,0,0.0,0.0
2432,2,3.2,14.5,3.75,0.0,22.55,0,0.0,0.0
6127,1,1.53,10.5,0.0,0.0,11.8,1,99.99,83.06
2095,2,2.94,12.0,0.0,0.0,15.8,1,99.98,81.58
996,1,8.3,27.0,7.2,5.76,43.26,0,0.0,0.0
2655,3,1.8,10.0,2.65,0.0,15.95,0,0.0,0.0
1623,1,1.45,9.0,0.0,0.0,12.3,1,99.99,83.06
1961,1,17.82,52.0,13.11,5.76,78.67,0,0.0,0.0
4588,1,4.9,16.5,4.15,0.0,24.95,0,0.0,0.0
4747,1,6.44,23.5,5.36,0.0,32.16,0,0.0,0.0
5996,1,3.15,12.5,2.86,0.0,17.16,0,0.0,0.0
6195,3,3.96,18.0,3.76,0.0,22.56,0,0.0,0.0
6336,2,2.21,10.0,0.0,0.0,11.8,1,99.99,83.06
91,1,0.3,3.0,0.95,0.0,7.25,0,0.0,0.0
318,1,0.66,7.0,0.0,0.0,10.3,1,99.99,89.19
1786,1,1.19,6.0,1.96,0.0,11.76,0,0.0,0.0
4467,1,4.23,17.0,0.0,0.0,17.8,1,99.98,70.37
6422,1,4.02,16.0,0.0,0.0,17.3,1,99.98,70.37
1305,1,10.5,32.0,8.4,5.76,50.46,0,0.0,0.0
2932,1,1.68,7.0,2.16,0.0,12.96,0,0.0,0.0
1002,2,4.16,17.0,4.26,0.0,25.56,0,0.0,0.0
3333,1,0.7,4.5,0.0,0.0,7.8,1,99.99,89.55
17,1,2.6,10.5,2.0,0.0,16.3,0,0.0,0.0
3055,1,2.01,7.5,0.0,0.0,11.3,1,99.99,83.06
2549,2,5.8,23.5,4.1,0.0,31.4,0,0.0,0.0
476,4,1.77,8.0,0.0,0.0,11.3,1,99.99,83.06
3903,1,2.7,10.0,2.65,0.0,15.95,0,0.0,0.0
2638,1,0.9,5.0,0.0,0.0,8.3,1,99.99,89.19
3154,1,1.29,12.5,0.0,0.0,15.8,1,99.98,83.06
2691,1,1.15,7.0,1.5,0.0,11.8,0,0.0,0.0
1729,1,0.5,4.5,1.0,0.0,8.8,0,0.0,0.0
4842,1,2.4,10.5,0.0,0.0,14.3,1,99.99,83.06
3185,4,2.9,14.0,3.45,0.0,20.75,0,0.0,0.0
2276,1,17.38,52.0,15.26,5.76,76.32,0,0.0,0.0
2138,1,0.6,10.5,2.0,0.0,15.8,0,0.0,0.0
1297,5,5.6,22.0,0.0,0.0,23.8,1,99.97,67.65
3641,2,0.9,5.5,0.0,0.0,9.3,1,99.99,89.19
3149,2,0.4,4.5,1.0,0.0,8.8,0,0.0,0.0
5527,1,2.54,11.0,0.0,0.0,11.8,1,99.99,83.06
3214,1,4.92,16.5,0.0,0.0,20.3,1,99.98,67.65
2410,1,1.45,7.0,0.0,0.0,10.8,1,99.99,88.89
2765,1,5.39,20.5,2.0,0.0,26.3,0,0.0,0.0
2215,1,1.27,8.0,2.36,0.0,14.16,0,0.0,0.0
2778,1,4.25,15.5,0.0,0.0,19.3,1,99.98,70.37
5606,1,1.4,6.5,1.49,0.0,9.79,0,0.0,0.0
14,0,2.9,11.5,0.0,0.0,14.8,1,99.98,81.58
3263,1,0.66,4.0,1.0,0.0,8.3,0,0.0,0.0
1888,1,11.24,39.0,9.61,5.76,57.67,0,0.0,0.0
3912,2,19.3,52.0,11.05,0.0,66.35,0,0.0,0.0
5470,1,0.84,7.5,0.0,0.0,8.3,1,99.99,89.19
5223,1,0.78,5.0,1.66,0.0,9.96,0,0.0,0.0
5808,1,0.88,5.5,0.0,0.0,6.8,1,99.99,89.55
1022,1,1.8,8.0,1.2,0.0,13.0,0,0.0,0.0
3825,1,12.54,40.0,0.0,5.76,46.56,1,95.89,38.46
6268,1,8.82,29.5,6.61,0.0,39.66,0,0.0,0.0
2742,1,0.0,55.0,0.0,0.0,55.8,1,99.75,38.46
4320,1,8.32,25.5,7.45,0.0,37.25,0,0.0,0.0
